Number	Name	Type	Angle around circle of radar	Blip Edit Status	Blip Quadrant	Blip Ring	Brand Value	Cost	Cost Reduction	Created	Date last modified	Distance from center of Radar	Due Date	Estimate	Event Date	Event Type	IsFaded	Location	Market Size	Owner	Pricing Power	Priority	Status	Target Quarter	URL	URL - Shortened	URL label	Value	Events	Events - Event	Stories	Stories - Story	Technologies	Technologies - Technology	Created by	Modified by
445	Agile Analytics	Blip	132	In Editing	Techniques	Trial					2012-1	212								psadalag									no		no		no		jnorris	jnorris
442	Google Dart	Blip	294	In Editing	Languages	Hold					2012-1	375								rferraz									no		no		no		jnorris	jnorris
441	Functional java	Blip	356	In Editing	Languages	Assess					2012-1	320								nford									no		no		no		jnorris	jnorris
438	ClojureScript	Blip	286	In Editing	Languages	Assess					2012-1	290								nford									no		no		no		jnorris	jnorris
437	Care about languages	Blip	285	In Editing	Languages	Adopt					2012-1	75								icartwri									no		no		no		jnorris	jnorris
436	Buying solutions you can only afford one of	Blip	232	In Editing	Platforms	Hold					2012-1	375								mmason									no		no		no		jnorris	jnorris
435	Treating VM's like physical infrastructure	Blip	261	In Editing	Platforms	Hold					2012-1	375								mmason									no		no		no		jnorris	jnorris
434	Zero-code packages	Blip	201	In Editing	Platforms	Hold					2012-1	375								sshaw									no		no		no		jnorris	jnorris
433	RIA	Blip	247	In Editing	Platforms	Hold					2012-1	375								nford									no		no		no		jnorris	jnorris
432	OpenSocial	Blip	248	In Editing	Platforms	Assess					2012-1	320								bjanakir									no		no		no		jnorris	jnorris
431	Hybrid clouds	Blip	226	In Editing	Platforms	Assess					2012-1	310								sshaw									no		no		no		jnorris	jnorris
430	Private clouds	Blip	240	In Editing	Platforms	Trial					2012-1	220								sshaw									no		no		no		jnorris	jnorris
429	AppHarbor	Blip	186	In Editing	Platforms	Assess					2012-1	290								rferraz									no		no		no		jnorris	jnorris
428	Single threaded servers with asynchronous I/O	Blip	197	In Editing	Platforms	Assess					2012-1	285								sshaw									no		no		no		jnorris	jnorris
425	Windows Phone 7	Blip	211	In Editing	Platforms	Trial					2012-1	220								rferraz									no		no		no		jnorris	jnorris
424	Communication between those responsible for hardware and software developers	Blip	265	In Editing	Platforms	Adopt					2012-1	75								nford									no		no		no		jnorris	jnorris
423	Linux containers	Blip	195	In Editing	Platforms	Trial					2012-1	212								sshaw									no		no		no		jnorris	jnorris
422	Domain Specific PAAS	Blip	258	In Editing	Platforms	Trial					2012-1	210								sshaw									no		no		no		jnorris	jnorris
421	Care about hardware	Blip	250	Need Write Up	Platforms	Adopt					2012-1	75								icartwri									no		no		no		jnorris	jnorris
419	Maven	Blip	29	In Editing	Tools	Hold					2012-1	375								rferraz									no		no		no		jnorris	jnorris
